trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.56217650088579807}",25,17,-2.203115317019851,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.54983399731247795}",20,0,-61.90734249005517,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.5374298453437496}",25,6,-18.184948395883833,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.52497918747894001}",30,0,-0.9653907437440028,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.51249739648421033}",25,0,-15.91467444183371,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.5}",25,0,-37.48590725745339,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
102,False,"{'a': 0.2, 'e': 0.49009933665337763}",25,0,-53.45817753265909,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.2, 'e': 0.48039471957616159}",25,0,-49.19783039267801,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
104,False,"{'a': 0.2, 'e': 0.47088226679212436}",25,16,-33.81151958796192,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.2, 'e': 0.46155817319331788}",25,3,-23.121273588600722,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.2, 'e': 0.45241870901797976}",30,0,-23.408976824079307,"{0: 25, 1: 2, 2: 1, 3: 2, 4: 0}",0
107,False,"{'a': 0.2, 'e': 0.44346021835857874}",35,14,-31.305100488424586,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.43467911769940293}",20,5,9.615897196895638,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.42607189448310567}",30,16,-31.180422997192416,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.2, 'e': 0.417635105705636}",20,7,-4.7901266839602155,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.40936537653899091}",25,0,-61.72664151819657,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
112,False,"{'a': 0.2, 'e': 0.40125939898123925}",20,0,22.42376510508249,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.39331393053327673}",35,9,-4.940905623167155,"{0: 20, 1: 5, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.38552579290178313}",25,0,-3.724362019877323,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
