trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'e': 0.5, 'a': 0.5}",35,9,-8.46476440061343,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 0}",1
102,False,"{'e': 0.48522276677425408, 'a': 0.2}",20,0,-53.11892714129377,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
103,False,"{'e': 0.47088226679212436, 'a': 0.2}",20,15,4.335630130837426,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'e': 0.45696559263561409, 'a': 0.2}",25,5,-11.188935631065787,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
105,False,"{'e': 0.44346021835857874, 'a': 0.2}",20,7,2.5589972469736235,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'e': 0.4303539882125289, 'a': 0.2}",30,8,-60.89262230120214,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
107,False,"{'e': 0.417635105705636, 'a': 0.2}",20,0,-36.56412852309515,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
108,False,"{'e': 0.40529212298509354, 'a': 0.2}",20,0,15.097838069063702,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
109,False,"{'e': 0.39331393053327673, 'a': 0.2}",25,0,32.274829419318344,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'e': 0.38168974716842657, 'a': 0.2}",25,0,-73.96107808568928,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
111,False,"{'e': 0.37040911034085894, 'a': 0.2}",20,3,16.216977155732366,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'e': 0.35946186671596309, 'a': 0.2}",30,16,-29.27739127421944,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
113,False,"{'e': 0.34883816303551551, 'a': 0.2}",30,0,-58.39670347834002,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
114,False,"{'e': 0.33852843724908233, 'a': 0.2}",25,2,-23.60033691269775,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
115,False,"{'e': 0.32852340990752837, 'a': 0.2}",20,6,-46.65520576236464,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
116,False,"{'e': 0.31881407581088667, 'a': 0.2}",25,0,-77.13171080460668,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
117,False,"{'e': 0.30939169590307042, 'a': 0.2}",20,6,18.85884795369139,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'e': 0.30024778940613295, 'a': 0.2}",20,11,11.78698467873584,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.29137412618699482, 'a': 0.2}",25,10,-55.641046547259656,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
120,False,"{'e': 0.28276271934976854, 'a': 0.2}",20,0,14.969971044470501,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
121,False,"{'e': 0.27440581804701325, 'a': 0.2}",25,20,5.964653418789533,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'e': 0.26629590050344859, 'a': 0.2}",25,16,4.065580292324952,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'e': 0.25842566724584964, 'a': 0.2}",25,0,-36.448315614611985,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
124,False,"{'e': 0.25078803453302778, 'a': 0.2}",25,2,-2.2883634745440014,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'e': 0.24337612797998584, 'a': 0.2}",20,6,-40.36752199504942,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
126,False,"{'e': 0.23618327637050734, 'a': 0.2}",20,8,-2.23642068262588,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'e': 0.22920300565261176, 'a': 0.2}",20,11,-5.915828171159207,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'e': 0.22242903311147058, 'a': 0.2}",25,0,22.28994959759845,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
129,False,"{'e': 0.21585526171453986, 'a': 0.2}",25,0,-55.26893067522022,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
130,False,"{'e': 0.2094757746238195, 'a': 0.2}",30,4,-20.105738193462447,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 0}",1
131,False,"{'e': 0.20328482987029958, 'a': 0.2}",25,16,-25.979762500525457,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
132,False,"{'e': 0.19727685518580057, 'a': 0.2}",20,0,30.04270851584892,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'e': 0.19144644298755603, 'a': 0.2}",25,12,23.811266838968784,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'e': 0.18578834551102286, 'a': 0.2}",20,0,30.38609301715759,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'e': 0.18029747008653915, 'a': 0.2}",25,14,19.552818091732075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'e': 0.17496887455557766, 'a': 0.2}",35,20,26.81478173296345,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
